バージョン,曲名,難易度,レベル,ノーツレーダー属性
CastHour,ALTERNATOR,ANOTHER,12,CHORD
RESIDENT,Always We Trust In You,NORMAL,6,PEAK
RESIDENT,Always We Trust In You,HYPER,9,PEAK
RESIDENT,Always We Trust In You,ANOTHER,12,NOTES
INFINITAS,Amabie,NORMAL,4,
INFINITAS,Amabie,HYPER,8,
INFINITAS,Amabie,ANOTHER,10,NOTES
SINOBUZ,Amazing Mirage,BEGINNER,2,PEAK
SINOBUZ,Amazing Mirage,NORMAL,5,NOTES
SINOBUZ,Amazing Mirage,HYPER,9,NOTES
SINOBUZ,Amazing Mirage,ANOTHER,11,NOTES
SINOBUZ,Amazing Mirage,LEGGENDARIA,12,CHORD
RESIDENT,Ambush Ace,NORMAL,5,NOTES
RESIDENT,Ambush Ace,HYPER,9,NOTES
RESIDENT,Ambush Ace,ANOTHER,11,NOTES
EPOLIS,Amethyst,NORMAL,6,PEAK
EPOLIS,Amethyst,HYPER,9,NOTES
EPOLIS,Amethyst,ANOTHER,11,PEAK
CastHour,AMICABLE,NORMAL,5,PEAK
CastHour,AMICABLE,HYPER,8,PEAK
CastHour,AMICABLE,ANOTHER,10,CHORD
PENDUAL,Amnolys,NORMAL,5,
PENDUAL,Amnolys,HYPER,9,
PENDUAL,Amnolys,ANOTHER,11,CHORD
CANNON BALLERS,Amor De Verao,NORMAL,4,SCRATCH
CANNON BALLERS,Amor De Verao,HYPER,8,
CANNON BALLERS,Amor De Verao,ANOTHER,11,NOTES
BISTROVER,AMRITA -不滅ノ花-,NORMAL,4,NOTES
BISTROVER,AMRITA -不滅ノ花-,HYPER,8,NOTES
BISTROVER,AMRITA -不滅ノ花-,ANOTHER,11,NOTES
CANNON BALLERS,ANAGMA,NORMAL,5,NOTES
CANNON BALLERS,ANAGMA,HYPER,8,NOTES
CANNON BALLERS,ANAGMA,ANOTHER,10,NOTES
Lincle,ANAGRAMS I to Y,NORMAL,4,NOTES
Lincle,ANAGRAMS I to Y,HYPER,7,NOTES
Lincle,ANAGRAMS I to Y,ANOTHER,9,NOTES
CANNON BALLERS,ANCHOR,NORMAL,7,NOTES
CANNON BALLERS,ANCHOR,HYPER,10,NOTES
CANNON BALLERS,ANCHOR,ANOTHER,12,PEAK
SPADA,Ancient Scapes,NORMAL,6,PEAK
SPADA,Ancient Scapes,HYPER,10,NOTES
SPADA,Ancient Scapes,ANOTHER,12,NOTES
SPADA,Ancient Scapes,LEGGENDARIA,12,NOTES
HEROIC VERSE,And-RoiD,NORMAL,4,PEAK
HEROIC VERSE,And-RoiD,HYPER,7,PEAK
HEROIC VERSE,And-RoiD,ANOTHER,9,CHORD
IIDX RED,ANDROMEDA,NORMAL,5,NOTES
IIDX RED,ANDROMEDA,HYPER,8,NOTES
IIDX RED,ANDROMEDA,ANOTHER,11,NOTES
GOLD,ANDROMEDA II,NORMAL,5,NOTES
GOLD,ANDROMEDA II,HYPER,9,NOTES
GOLD,ANDROMEDA II,ANOTHER,10,NOTES
CastHour,ANEMONE,BEGINNER,1,PEAK
CastHour,ANEMONE,NORMAL,4,NOTES
CastHour,ANEMONE,HYPER,7,NOTES
CastHour,ANEMONE,ANOTHER,10,NOTES
CastHour,Angel's Ladder,NORMAL,6,PEAK
CastHour,Angel's Ladder,HYPER,10,NOTES
CastHour,Angel's Ladder,ANOTHER,12,NOTES
copula,Angelic Jelly,NORMAL,6,
copula,Angelic Jelly,HYPER,9,NOTES
copula,Angelic Jelly,ANOTHER,11,PEAK
Rootage,Angels & Demons,NORMAL,5,
Rootage,Angels & Demons,HYPER,8,
Rootage,Angels & Demons,ANOTHER,10,CHORD
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",NORMAL,6,
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",HYPER,10,PEAK
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",ANOTHER,11,CHORD
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",LEGGENDARIA,12,CHORD
Resort Anthem,Answer,NORMAL,4,PEAK
Resort Anthem,Answer,HYPER,7,PEAK
Resort Anthem,Answer,ANOTHER,10,NOTES
Resort Anthem,ANTHEM LANDING,NORMAL,5,PEAK
Resort Anthem,ANTHEM LANDING,HYPER,9,NOTES
Resort Anthem,ANTHEM LANDING,ANOTHER,11,NOTES
CANNON BALLERS,Antigravity,NORMAL,6,NOTES
CANNON BALLERS,Antigravity,HYPER,10,
CANNON BALLERS,Antigravity,ANOTHER,12,NOTES
copula,AO-1,NORMAL,7,PEAK
copula,AO-1,HYPER,10,NOTES
copula,AO-1,ANOTHER,12,NOTES
BISTROVER,apo:llioth,NORMAL,5,NOTES
BISTROVER,apo:llioth,HYPER,9,NOTES
BISTROVER,apo:llioth,ANOTHER,11,CHORD
SINOBUZ,Apocalypse,NORMAL,5,NOTES
SINOBUZ,Apocalypse,HYPER,9,NOTES
SINOBUZ,Apocalypse,ANOTHER,12,NOTES
DistorteD,Apocalypse ～dirge of swans～,BEGINNER,1,PEAK
DistorteD,Apocalypse ～dirge of swans～,NORMAL,5,PEAK
DistorteD,Apocalypse ～dirge of swans～,HYPER,9,PEAK
DistorteD,Apocalypse ～dirge of swans～,ANOTHER,10,PEAK
EMPRESS,Arabian Rave Night,NORMAL,6,PEAK
EMPRESS,Arabian Rave Night,HYPER,10,NOTES
EMPRESS,Arabian Rave Night,ANOTHER,11,NOTES
EMPRESS,Arabian Rave Night,LEGGENDARIA,12,NOTES
CANNON BALLERS,Arca,NORMAL,5,PEAK
CANNON BALLERS,Arca,HYPER,9,NOTES
CANNON BALLERS,Arca,ANOTHER,12,PEAK
copula,Arcana,NORMAL,6,
copula,Arcana,HYPER,8,
copula,Arcana,ANOTHER,10,CHARGE
CastHour,Ariah,NORMAL,4,PEAK
CastHour,Ariah,HYPER,7,NOTES
CastHour,Ariah,ANOTHER,10,NOTES
CastHour,Arkadia,NORMAL,5,PEAK
CastHour,Arkadia,HYPER,9,NOTES
CastHour,Arkadia,ANOTHER,12,NOTES
CANNON BALLERS,Around the Future,NORMAL,6,PEAK
CANNON BALLERS,Around the Future,HYPER,9,PEAK
CANNON BALLERS,Around the Future,ANOTHER,11,PEAK
HEROIC VERSE,Artist,NORMAL,7,NOTES
HEROIC VERSE,Artist,HYPER,10,NOTES
HEROIC VERSE,Artist,ANOTHER,12,NOTES
BISTROVER,As You Want,NORMAL,4,PEAK
BISTROVER,As You Want,HYPER,8,PEAK
BISTROVER,As You Want,ANOTHER,10,NOTES
tricoro,Ascalon,NORMAL,5,PEAK
tricoro,Ascalon,HYPER,8,
tricoro,Ascalon,ANOTHER,10,NOTES
SINOBUZ,AsiaN distractive,NORMAL,5,NOTES
SINOBUZ,AsiaN distractive,HYPER,8,NOTES
SINOBUZ,AsiaN distractive,ANOTHER,11,CHORD
BISTROVER,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),NORMAL,5,NOTES
BISTROVER,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),HYPER,9,NOTES
BISTROVER,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),ANOTHER,12,NOTES
10th style,ASTRAL VOYAGE,NORMAL,5,NOTES
10th style,ASTRAL VOYAGE,HYPER,6,NOTES
10th style,ASTRAL VOYAGE,ANOTHER,9,PEAK
INFINITAS,Astrogazer,NORMAL,5,
INFINITAS,Astrogazer,HYPER,9,
INFINITAS,Astrogazer,ANOTHER,11,NOTES
copula,Aublia,NORMAL,5,NOTES
copula,Aublia,HYPER,8,PEAK
copula,Aublia,ANOTHER,11,NOTES
HAPPY SKY,Aurora,NORMAL,7,PEAK
HAPPY SKY,Aurora,HYPER,10,NOTES
HAPPY SKY,Aurora,ANOTHER,11,PEAK
7th style,AVE DE RAPINA,NORMAL,6,PEAK
7th style,AVE DE RAPINA,HYPER,8,PEAK
7th style,AVE DE RAPINA,ANOTHER,9,PEAK
RESIDENT,AWA AWA,NORMAL,4,PEAK
RESIDENT,AWA AWA,HYPER,7,NOTES
RESIDENT,AWA AWA,ANOTHER,10,NOTES
IIDX RED,awakening,NORMAL,5,PEAK
IIDX RED,awakening,HYPER,7,PEAK
IIDX RED,awakening,ANOTHER,10,PEAK
DistorteD,ay carumba!!!!,NORMAL,6,
DistorteD,ay carumba!!!!,HYPER,9,
DistorteD,ay carumba!!!!,ANOTHER,10,PEAK
RESIDENT,B.O.D.Y.,NORMAL,6,NOTES
RESIDENT,B.O.D.Y.,HYPER,10,NOTES
RESIDENT,B.O.D.Y.,ANOTHER,12,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),NORMAL,6,PEAK
EMPRESS,B4U(BEMANI FOR YOU MIX),HYPER,9,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),ANOTHER,11,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),LEGGENDARIA,12,CHORD
10th style,BABY LOVE,NORMAL,6,
10th style,BABY LOVE,HYPER,7,NOTES
10th style,BABY LOVE,ANOTHER,10,PEAK
10th style,Back Into The Light,NORMAL,6,NOTES
10th style,Back Into The Light,HYPER,7,NOTES
10th style,Back Into The Light,ANOTHER,10,NOTES
CANNON BALLERS,Back Spin Sweeper,NORMAL,6,SCRATCH
CANNON BALLERS,Back Spin Sweeper,HYPER,9,PEAK
CANNON BALLERS,Back Spin Sweeper,ANOTHER,11,PEAK
HEROIC VERSE,Backyard Stars,NORMAL,6,PEAK
HEROIC VERSE,Backyard Stars,HYPER,9,PEAK
HEROIC VERSE,Backyard Stars,ANOTHER,10,PEAK
RESIDENT,Bad Encryption,NORMAL,7,PEAK
RESIDENT,Bad Encryption,HYPER,10,PEAK
RESIDENT,Bad Encryption,ANOTHER,12,PEAK
SIRIUS,Bad Maniacs,NORMAL,7,PEAK
SIRIUS,Bad Maniacs,HYPER,10,PEAK
SIRIUS,Bad Maniacs,ANOTHER,12,PEAK
7th style,Bad Routine,NORMAL,5,PEAK
7th style,Bad Routine,HYPER,7,PEAK
7th style,Bad Routine,ANOTHER,9,CHORD
9th style,bag,NORMAL,5,NOTES
9th style,bag,HYPER,6,
9th style,bag,ANOTHER,10,NOTES
EMPRESS,Bahram Attack-猫叉Master Remix-,NORMAL,4,PEAK
EMPRESS,Bahram Attack-猫叉Master Remix-,HYPER,9,NOTES
EMPRESS,Bahram Attack-猫叉Master Remix-,ANOTHER,10,PEAK
EMPRESS,Bahram Attack-猫叉Master Remix-,LEGGENDARIA,11,CHORD
6th style,BALLAD FOR YOU～想いの雨～,NORMAL,4,PEAK
6th style,BALLAD FOR YOU～想いの雨～,HYPER,5,PEAK
6th style,BALLAD FOR YOU～想いの雨～,ANOTHER,7,PEAK
DistorteD,BALLAD THE FEATHERS,NORMAL,4,PEAK
DistorteD,BALLAD THE FEATHERS,HYPER,6,PEAK
DistorteD,BALLAD THE FEATHERS,ANOTHER,8,PEAK
Pinky Crush,Bang-Boo Bumble,NORMAL,5,
Pinky Crush,Bang-Boo Bumble,HYPER,9,NOTES
Pinky Crush,Bang-Boo Bumble,ANOTHER,11,CHORD
CastHour,Banger Banger Banger Banger,NORMAL,5,
CastHour,Banger Banger Banger Banger,HYPER,9,
CastHour,Banger Banger Banger Banger,ANOTHER,11,NOTES
SIRIUS,bass 2 bass,BEGINNER,1,PEAK
SIRIUS,bass 2 bass,NORMAL,4,NOTES
SIRIUS,bass 2 bass,HYPER,7,NOTES
SIRIUS,bass 2 bass,ANOTHER,10,SCRATCH
copula,Battle Train -IIDX Edition-,NORMAL,4,NOTES
copula,Battle Train -IIDX Edition-,HYPER,10,NOTES
copula,Battle Train -IIDX Edition-,ANOTHER,11,NOTES
CANNON BALLERS,Battleground,NORMAL,6,NOTES
CANNON BALLERS,Battleground,HYPER,9,NOTES
CANNON BALLERS,Battleground,ANOTHER,11,PEAK
CANNON BALLERS,Be a Hero!,NORMAL,4,NOTES
CANNON BALLERS,Be a Hero!,HYPER,9,NOTES
CANNON BALLERS,Be a Hero!,ANOTHER,11,NOTES
SINOBUZ,Be A Star,NORMAL,4,NOTES
SINOBUZ,Be A Star,HYPER,9,NOTES
SINOBUZ,Be A Star,ANOTHER,11,CHORD
IIDX RED,Be quiet,NORMAL,5,PEAK
IIDX RED,Be quiet,HYPER,9,PEAK
IIDX RED,Be quiet,ANOTHER,11,PEAK
IIDX RED,Be quiet,LEGGENDARIA,12,SCRATCH
9th style,Be Rock U (1998 burst style),NORMAL,4,
9th style,Be Rock U (1998 burst style),HYPER,7,
9th style,Be Rock U (1998 burst style),ANOTHER,9,PEAK
CANNON BALLERS,Beast mode,NORMAL,6,NOTES
CANNON BALLERS,Beast mode,HYPER,9,PEAK
CANNON BALLERS,Beast mode,ANOTHER,11,PEAK
tricoro,Beastie Starter,NORMAL,3,PEAK
tricoro,Beastie Starter,HYPER,7,PEAK
tricoro,Beastie Starter,ANOTHER,11,PEAK
SINOBUZ,Beat Juggling Mix,NORMAL,6,
SINOBUZ,Beat Juggling Mix,HYPER,9,SCRATCH
SINOBUZ,Beat Juggling Mix,ANOTHER,11,SCRATCH
SINOBUZ,Beat Juggling Mix,LEGGENDARIA,12,SCRATCH
HEROIC VERSE,BEAT PRISONER,NORMAL,6,NOTES
HEROIC VERSE,BEAT PRISONER,HYPER,9,CHARGE
HEROIC VERSE,BEAT PRISONER,ANOTHER,12,CHARGE
PENDUAL,Beat Radiance,NORMAL,5,
PENDUAL,Beat Radiance,HYPER,8,NOTES
PENDUAL,Beat Radiance,ANOTHER,10,CHORD
PENDUAL,Beat Radiance,LEGGENDARIA,12,CHORD
HEROIC VERSE,beatAffection,NORMAL,5,NOTES
HEROIC VERSE,beatAffection,HYPER,8,NOTES
HEROIC VERSE,beatAffection,ANOTHER,10,CHORD
DJ TROOPERS,beatonic nation,NORMAL,5,PEAK
DJ TROOPERS,beatonic nation,HYPER,8,NOTES
DJ TROOPERS,beatonic nation,ANOTHER,9,PEAK
SIRIUS,being torn the sky,NORMAL,4,PEAK
SIRIUS,being torn the sky,HYPER,7,
SIRIUS,being torn the sky,ANOTHER,10,CHORD
Resort Anthem,Believe In Me,NORMAL,5,PEAK
Resort Anthem,Believe In Me,HYPER,9,PEAK
Resort Anthem,Believe In Me,ANOTHER,11,NOTES
SINOBUZ,Believe in you,NORMAL,5,NOTES
SINOBUZ,Believe in you,HYPER,8,NOTES
SINOBUZ,Believe in you,ANOTHER,10,CHORD
BISTROVER,BEMANI PRO LEAGUE Theme,NORMAL,4,NOTES
BISTROVER,BEMANI PRO LEAGUE Theme,HYPER,7,NOTES
BISTROVER,BEMANI PRO LEAGUE Theme,ANOTHER,9,NOTES
CANNON BALLERS,Best of Me,NORMAL,4,NOTES
CANNON BALLERS,Best of Me,HYPER,8,
CANNON BALLERS,Best of Me,ANOTHER,10,PEAK
RESIDENT,Beyond Evolution,NORMAL,7,PEAK
RESIDENT,Beyond Evolution,HYPER,11,PEAK
RESIDENT,Beyond Evolution,ANOTHER,12,PEAK
PENDUAL,Beyond The Earth,NORMAL,5,PEAK
PENDUAL,Beyond The Earth,HYPER,10,PEAK
PENDUAL,Beyond The Earth,ANOTHER,11,CHORD
SINOBUZ,Beyond The Seven,NORMAL,4,PEAK
SINOBUZ,Beyond The Seven,HYPER,7,PEAK
SINOBUZ,Beyond The Seven,ANOTHER,11,CHORD
BISTROVER,BIGソムタム,BEGINNER,3,PEAK
BISTROVER,BIGソムタム,NORMAL,7,NOTES
BISTROVER,BIGソムタム,HYPER,9,NOTES
BISTROVER,BIGソムタム,ANOTHER,12,CHARGE
RESIDENT,BIGWAVERS,NORMAL,6,NOTES
RESIDENT,BIGWAVERS,HYPER,9,NOTES
RESIDENT,BIGWAVERS,ANOTHER,12,CHORD
CastHour,Binary Black Hole,NORMAL,6,PEAK
CastHour,Binary Black Hole,HYPER,10,PEAK
CastHour,Binary Black Hole,ANOTHER,12,PEAK
8th style,bit mania,NORMAL,4,NOTES
8th style,bit mania,HYPER,5,CHORD
8th style,bit mania,ANOTHER,8,CHORD
EPOLIS,Bitter & Lucky,NORMAL,4,NOTES
EPOLIS,Bitter & Lucky,HYPER,7,NOTES
EPOLIS,Bitter & Lucky,ANOTHER,10,NOTES
EMPRESS,BITTER CHOCOLATE STRIKER,NORMAL,5,SCRATCH
EMPRESS,BITTER CHOCOLATE STRIKER,HYPER,10,NOTES
EMPRESS,BITTER CHOCOLATE STRIKER,ANOTHER,12,CHORD
INFINITAS,Black Apple,NORMAL,5,
INFINITAS,Black Apple,HYPER,8,
INFINITAS,Black Apple,ANOTHER,11,CHARGE
Rootage,BLACK JACKAL,NORMAL,5,NOTES
Rootage,BLACK JACKAL,HYPER,8,NOTES
Rootage,BLACK JACKAL,ANOTHER,10,NOTES
BISTROVER,BLACK or WHITE?,BEGINNER,3,
BISTROVER,BLACK or WHITE?,NORMAL,6,PEAK
BISTROVER,BLACK or WHITE?,HYPER,10,NOTES
BISTROVER,BLACK or WHITE?,ANOTHER,12,NOTES
Lincle,BLACK.by X-Cross Fade,NORMAL,6,
Lincle,BLACK.by X-Cross Fade,HYPER,10,SCRATCH
Lincle,BLACK.by X-Cross Fade,ANOTHER,12,SCRATCH
PENDUAL,Blaze it UP!,NORMAL,5,NOTES
PENDUAL,Blaze it UP!,HYPER,8,NOTES
PENDUAL,Blaze it UP!,ANOTHER,11,CHORD
INFINITAS,BLAZING_LAZER,NORMAL,6,NOTES
INFINITAS,BLAZING_LAZER,HYPER,10,
INFINITAS,BLAZING_LAZER,ANOTHER,12,NOTES
INFINITAS,Bleep Beep Bop,NORMAL,4,
INFINITAS,Bleep Beep Bop,HYPER,8,
INFINITAS,Bleep Beep Bop,ANOTHER,11,SCRATCH
GOLD,Blind Justice ～Torn souls， Hurt Faiths ～,NORMAL,6,
GOLD,Blind Justice ～Torn souls， Hurt Faiths ～,HYPER,8,NOTES
GOLD,Blind Justice ～Torn souls， Hurt Faiths ～,ANOTHER,11,PEAK
IIDX RED,BLOCKS,NORMAL,5,PEAK
IIDX RED,BLOCKS,HYPER,7,NOTES
IIDX RED,BLOCKS,ANOTHER,11,PEAK
DistorteD,Bloody Tears(IIDX EDITION),NORMAL,5,NOTES
DistorteD,Bloody Tears(IIDX EDITION),HYPER,9,NOTES
DistorteD,Bloody Tears(IIDX EDITION),ANOTHER,10,CHORD
